no.clutches,ave.clutch,totalegg,ave.eggsize,egglatency
1,16,16,0.8478,7
2,14,28,0.7894,2
3,14,42,0.8308,0
1,23,23,0.8296,5
4,13.5,54,0.79575,2
3,9.666666667,29,0.787,2
2,16.5,33,0.7491,2
4,7.75,31,0.8194375,3
2,13,26,0.8715,3
3,10,30,0.8416,3
3,8.333333333,25,0.76575,1
4,13.5,54,0.8399,1
4,14.75,59,0.77405,1
1,6,6,0.6566,1
2,9,18,0.8528,5
2,13,26,0.8992,2
2,11,22,0.8832,2
4,14.75,59,0.85025,0
3,9.333333333,28,0.894133333,4
3,11,33,0.9126,2
3,13.33333333,40,0.750133333,3
2,3.5,7,0.791,3
1,7,7,0.871,2
3,7,21,0.841883333,0
4,7.25,29,0.8016125,1
3,8.666666667,26,0.699,1
3,10.33333333,31,0.854,1
1,11,11,0.9218,3
2,12.5,25,0.6988,2
1,5,5,0.8142,2